Date,Time,AQHI,Category
2022-11-13,12:00 am EST,1,,Low Risk
2022-11-13,1:00 am EST,1,,Low Risk
2022-11-13,2:00 am EST,1,,Low Risk
2022-11-13,3:00 am EST,1,,Low Risk
2022-11-13,4:00 am EST,N/A,,
2022-11-13,5:00 am EST,1,,Low Risk
2022-11-13,6:00 am EST,1,,Low Risk
2022-11-13,7:00 am EST,1,,Low Risk
2022-11-13,8:00 am EST,1,,Low Risk
2022-11-13,9:00 am EST,1,,Low Risk
2022-11-13,10:00 am EST,1,,Low Risk
2022-11-13,11:00 am EST,1,,Low Risk
2022-11-13,12:00 pm EST,1,,Low Risk
2022-11-13,1:00 pm EST,1,,Low Risk
2022-11-13,2:00 pm EST,1,,Low Risk
2022-11-13,3:00 pm EST,2,,Low Risk
2022-11-13,4:00 pm EST,2,,Low Risk
2022-11-13,5:00 pm EST,2,,Low Risk
2022-11-13,6:00 pm EST,2,,Low Risk
2022-11-13,7:00 pm EST,2,,Low Risk
2022-11-13,8:00 pm EST,2,,Low Risk
2022-11-13,9:00 pm EST,2,,Low Risk
2022-11-13,10:00 pm EST,2,,Low Risk
2022-11-13,11:00 pm EST,2,,Low Risk
